,score,metrics,experiment
0,0.5155771358308628,AUROC,0
1,0.6672055160582617,Accuracy,0
2,0.0,Recall,0
3,0.0,Precision,0
4,0.0,F1 score,0
5,0.3294931348861976,AUPR,0
0,0.5244525465606578,AUROC,1
1,0.6534865345361164,Accuracy,1
2,0.005278705990604872,Recall,1
3,0.17609046849757673,Precision,1
4,0.010250141056987024,F1 score,1
5,0.3470440796078958,AUPR,1
0,0.5200524789682759,AUROC,2
1,0.6563726731670254,Accuracy,2
2,0.0,Recall,2
3,0.0,Precision,2
4,0.0,F1 score,2
5,0.3548527825163847,AUPR,2
0,0.49259020145079424,AUROC,3
1,0.6551330798479087,Accuracy,3
2,0.0,Recall,3
3,0.0,Precision,3
4,0.0,F1 score,3
5,0.3292642472103024,AUPR,3
0,0.5169450770484472,AUROC,4
1,0.6598196062940286,Accuracy,4
2,0.004219613929576099,Recall,4
3,0.38839285714285715,Precision,4
4,0.008348527012762692,F1 score,4
5,0.3478704413255524,AUPR,4
0,0.49719496177827976,AUROC,0
1,0.6671890723724367,Accuracy,0
2,0.0,Recall,0
3,0.0,Precision,0
4,0.0,F1 score,0
5,0.3234468030788045,AUPR,0
0,0.5166732636947926,AUROC,1
1,0.6600046096605314,Accuracy,1
2,0.0,Recall,1
3,0.0,Precision,1
4,0.0,F1 score,1
5,0.34765146368374444,AUPR,1
0,0.5087904388246314,AUROC,2
1,0.6563771350778047,Accuracy,2
2,0.0,Recall,2
3,0.0,Precision,2
4,0.0,F1 score,2
5,0.3484279631929387,AUPR,2
0,0.5004209841165881,AUROC,3
1,0.6553525667520873,Accuracy,3
2,0.0,Recall,3
3,0.0,Precision,3
4,0.0,F1 score,3
5,0.335865639139799,AUPR,3
0,0.5269225555639511,AUROC,4
1,0.6603183486691577,Accuracy,4
2,0.0027648428405122236,Recall,4
3,0.4253731343283582,Precision,4
4,0.005493975903614458,F1 score,4
5,0.3546093381907828,AUPR,4
